petition_id,c0,c1,c2,c3
1,5,2,3,1
2,1,0,1,1
3,95,57,44,49
4,1,0,0,1
5,0,0,0,0
6,0,0,0,0
7,0,2,1,0
8,1,0,0,0
9,0,0,0,0
10,0,0,1,1
11,0,0,0,0
12,0,1,0,1
13,1,1,0,0
14,29,15,15,7
15,0,0,0,0
16,76,58,37,46
17,2,1,0,0
18,21,15,15,10
19,0,0,0,0
20,16,7,3,6
21,0,0,0,0
22,0,1,0,0
23,2,2,1,1
24,0,1,0,0
