length,confidence,support,rule
4,0.02,0.00,14 -> 16 18 3
4,0.02,0.00,14 -> 16 20 3
4,0.02,0.00,18 -> 14 20 3
4,0.01,0.00,14 -> 20 18 3
4,0.01,0.00,16 -> 14 20 18
4,0.01,0.00,16 -> 14 18 3
4,0.01,0.00,16 -> 14 20 3
4,0.01,0.00,16 -> 20 18 3
4,0.01,0.00,3 -> 14 16 18
4,0.01,0.00,3 -> 14 16 20
4,0.00,0.00,3 -> 16 20 18
4,0.00,0.00,3 -> 14 20 18
