"","53ea7f0500e5790843000001","53ec1ba3adfd950841000000","53ecff906ce61cfb2e000004","53ed01cceab72a9241000000","53ed5839a9a0b1572a000000","53f12e1eee140fba78000001","53f29bcb6ce61ce921000000","53f330abee140fd373000003","53f37f54a9a0b13220000001","53f3c020eab72a0d71000002"
"K. F., 21012",1,0,0,0,0,0,0,0,0,0
"B. H., 02184",1,0,0,0,0,0,0,0,0,0
"K. W., 61944",1,0,0,0,0,0,0,0,0,0
"A. R., 75961",1,0,0,0,0,0,0,0,0,0
"T. C., 93004",1,0,0,0,0,0,0,0,0,0
"I. D., 07601",1,0,1,0,0,0,0,0,0,0
"A. A., V3R 8T3",1,0,0,0,0,0,0,0,0,0
"M. M., 11372",1,0,0,0,0,0,0,0,0,0
"W. Z., 43081",1,0,0,0,0,0,0,0,0,0
"R. I., 77662",1,0,0,0,0,0,0,0,0,0
"M. P., 91351",1,0,0,0,0,0,0,0,0,0
"J. L., 35226",1,0,0,0,1,0,0,0,0,0
"S. C., 78751",1,0,0,0,0,0,0,0,0,0
"V. R., 92801",1,0,0,0,0,0,0,0,0,0
"C. D., 98027-5395",1,0,0,0,0,0,0,0,0,0
"G. S., 95843",1,0,0,0,0,0,0,0,0,0
"D. W., BB1 9QU",1,0,0,0,0,0,0,0,0,0
"L. U., 33140",1,0,0,0,0,0,0,0,0,0
"P. R., 33414",1,0,0,0,0,0,0,0,0,0
"J. R., 83703",1,0,0,0,0,1,0,0,0,1
"E. K., 89122",1,0,0,0,0,0,0,0,0,0
"D. H., 18902",1,0,0,0,0,0,0,0,0,0
"L. L., 68147",1,0,1,0,1,0,0,0,0,0
"J. M., 36801",1,0,0,0,0,0,0,0,0,0
"J. L., 36609",1,0,0,0,0,1,0,0,0,0
"R. M., 85704",1,0,0,0,0,0,0,0,0,0
"E. S., 98203",1,0,0,0,0,0,0,0,0,0
"J. C., 87501",1,0,1,0,1,0,0,0,0,0
"D. G., 92078",1,0,0,0,0,0,0,0,0,0
"W. P., 94306",1,0,0,0,0,0,0,0,0,0
"J. P., 84651",1,0,0,0,0,0,0,0,0,0
"D. K., 32935",1,0,1,1,1,0,0,0,1,1
"A. S., 94553",1,0,0,0,0,0,0,0,0,0
"D. C., 14218",1,0,0,0,0,0,0,0,0,0
"D. A., 10040",1,0,0,0,0,0,0,0,0,0
"P. G., 78259",1,0,0,0,1,0,0,1,0,0
"S. N., 54220",1,0,0,0,0,0,0,0,0,0
"K. B., 31321",1,0,0,0,0,0,0,0,0,0
"A. M., 94709",1,0,0,0,0,0,0,0,0,0
"G. F., 22701",1,0,0,0,0,0,0,0,0,0
"P. N., 60175",1,0,0,0,1,0,1,0,0,0
"T. P., 10469",1,1,1,0,1,1,0,0,0,0
"L. B., 77026",1,0,0,0,0,0,0,0,0,0
"D. H., 85747",1,0,1,0,0,0,0,0,0,1
"R. H., 94114",1,0,0,0,0,0,0,0,0,0
"S. P., 90260",1,0,0,0,0,0,0,0,0,0
"M. D., 34949",1,0,0,0,0,1,0,0,0,1
"S. H., 30906",1,0,0,0,0,0,0,0,0,0
"S. B., 02151",1,0,0,0,0,0,0,0,0,0
"E. R., NE27 0BH",1,0,0,0,0,0,0,0,0,0
"D. C., 55426-1936",1,0,0,0,0,0,0,0,0,0
"N. V., 11553",1,0,0,0,0,0,0,0,0,0
"A. H., 89011",1,0,0,0,0,0,0,0,0,0
"N. G., 30046",1,0,0,0,0,0,0,0,0,0
"B. A., 32905",1,0,0,0,0,0,0,0,0,0
"W. M., 08079",1,0,0,0,0,0,0,0,0,0
"J. R., 33417",1,0,0,0,0,0,0,0,0,0
"E. G., 87501",1,0,0,0,0,0,0,0,0,0
"J. Y., 92869",1,0,0,0,0,0,0,0,0,0
"S. W., 75211",1,0,1,0,0,0,0,0,0,0
"A. B., 24523",1,0,0,0,0,0,0,0,0,0
"J. T., 22030",1,0,0,0,0,0,0,0,0,0
"J. M., 30024",1,0,1,0,0,1,0,0,0,0
"E. E., V1T1Y3",1,0,0,0,0,0,0,0,0,0
"P. B., 94539",1,0,0,0,0,0,0,0,0,0
"F. R., 18517",1,0,0,0,0,0,0,0,0,0
"M. T., 06269",1,0,0,0,0,0,0,0,0,0
"C. M., 94115",1,0,0,0,0,0,0,0,0,0
"J. H., 90006",1,0,0,0,0,0,1,0,0,0
"B. D., 07090",1,0,0,0,0,0,0,0,0,0
"B. G., 60607",1,0,1,0,0,0,0,0,0,0
"J. A., 91605",1,1,0,0,1,0,0,0,0,0
"J. F., 43402",1,0,0,0,0,0,0,0,0,0
"L. S., 19087",1,0,0,0,0,0,0,0,0,0
"B. M., 15217",1,0,0,0,0,0,0,0,0,0
"J. S., 90755",1,0,0,0,0,0,0,0,0,0
"Z. H., 98226",1,0,0,0,0,0,0,0,0,0
"J. K., 49506",1,1,1,0,1,1,0,0,0,1
"J. M., 87121",1,0,0,0,0,0,0,0,0,0
"K. P., 19083",1,0,0,0,0,0,0,0,0,0
"K. A., 10553",1,0,0,0,0,0,0,0,0,0
"R. S., 18104",1,0,0,0,0,0,0,0,0,0
"C. G., 77089",1,0,0,0,0,0,0,0,0,0
"C. H., 81416",1,0,0,0,0,0,0,0,0,0
"S. F., 19720",1,0,0,0,0,0,0,0,0,0
"K. C., 06360",1,0,0,0,0,0,0,0,0,0
"M. P., 14613",1,0,1,0,1,0,0,0,0,0
"K. G., 34000",1,0,0,0,0,0,0,0,0,0
"D. F., 91355",1,0,0,0,0,0,0,0,0,0
"J. V., 95926",1,1,1,0,1,1,0,0,0,1
"C. P., 74105",1,0,0,0,0,0,0,0,0,0
"S. H., L1T3J5",1,0,0,0,0,0,0,0,0,0
"L. Y., 44256",1,0,0,0,0,0,0,0,0,0
"M. W., 27707",1,0,0,0,0,0,0,0,0,0
"B. M., 58631",1,0,0,0,0,0,0,0,0,0
"B. A., 53023",1,0,0,0,0,0,0,0,0,0
"A. L., 91001",1,0,0,0,0,0,0,0,0,0
"N. D., 94305",1,0,0,0,0,0,0,1,0,0
"J. I., 35811",1,0,0,0,0,0,0,0,0,0
"J. A., 19001",1,0,0,0,0,0,0,0,0,0
"R. H., 98926",1,0,0,0,0,0,0,0,0,0
"R. A., 76123",1,0,0,0,0,0,0,0,0,0
"C. K., 32058",1,0,0,0,0,0,0,0,0,0
"P. T., 6210",1,0,0,0,0,0,0,0,0,0
"J. M., 53213",1,0,0,0,0,0,0,0,0,0
"E. W., 81001",1,0,0,0,1,0,0,0,0,0
"R. J., 32132",1,0,0,0,1,0,0,0,0,1
"T. C., 60640-2904",1,0,0,0,0,0,0,0,0,0
"F. T., 73071",1,0,0,0,0,0,0,0,0,0
"J. S., 41040",1,0,0,0,0,0,0,0,0,0
"S. P., 48837",1,0,0,0,0,0,0,0,0,0
"A. W., 67219",1,0,0,0,0,0,0,0,0,0
"S. N., 62568",1,0,0,0,0,0,0,0,0,0
"K. M., 96746",1,0,0,0,0,0,0,0,0,0
"L. B., 4753",1,0,0,0,0,0,0,0,0,0
"K. A., 30534",1,0,0,0,0,0,0,0,0,0
