"","53ea7f0500e5790843000001","53ec1ba3adfd950841000000","53ecff906ce61cfb2e000004","53ed01cceab72a9241000000","53ed5839a9a0b1572a000000","53f12e1eee140fba78000001","53f29bcb6ce61ce921000000","53f330abee140fd373000003","53f37f54a9a0b13220000001","53f3c020eab72a0d71000002"
"W. H., 02492",0,1,0,0,0,0,0,0,0,0
"A. A., 11418",0,1,0,0,0,0,0,0,0,0
"C. P., 78703",0,1,0,0,0,0,0,0,0,0
"S. H., 19606",0,1,0,0,0,0,0,0,0,0
"J. R., 14560",0,1,0,0,0,0,0,0,0,0
"S. C., 30318",0,1,0,0,0,0,0,0,0,0
"D. W., 50310",0,1,0,0,0,0,0,0,0,0
"L. L., 76132",0,1,0,0,0,1,0,0,0,0
"E. M., 11222",0,1,0,0,0,0,0,0,0,0
"J. A., 05301",0,1,0,0,0,0,0,0,0,0
"E. B., 90014",0,1,0,0,0,0,0,0,0,0
"R. W., 90012",0,1,0,0,0,0,0,0,0,0
"J. B., 77545",0,1,0,0,0,0,0,0,0,0
"C. C., 62234",0,1,0,0,0,0,0,0,0,0
"A. S., 55412",0,1,0,0,0,0,0,0,0,0
"E. B., 90021",0,1,0,0,0,0,0,0,0,0
"C. D., 28167",0,1,0,0,0,0,0,0,0,0
"N. H., 40204",0,1,0,0,0,0,0,0,0,0
"J. P., 89031",0,1,0,0,0,0,0,0,0,0
"N. W., 30093",0,1,0,0,0,0,0,0,0,0
"T. S., 62060",0,1,0,0,0,0,0,0,0,0
"A. M., 91355",0,1,0,0,0,0,0,0,0,0
"S. L., 58078",0,1,0,0,0,0,0,0,0,0
"E. M., 65201",0,1,0,0,0,0,0,0,0,0
"T. H., 02445",0,1,0,0,0,0,0,0,0,0
"A. H., 10009",0,1,0,0,0,0,0,0,0,0
"W. B., 35214",0,1,0,0,0,0,0,0,0,0
"M. C., 11725",0,1,0,0,0,0,0,0,0,0
"J. M., 98660",0,1,0,0,0,0,0,0,0,0
"R. H., 02143",0,1,0,0,0,0,0,0,0,0
"K. C., 606209",0,1,0,0,0,0,1,0,0,0
"D. H., 06033",0,1,0,1,1,0,0,0,1,1
"D. M., 23227",0,1,0,0,0,0,0,0,0,0
"K. P., 99508",0,1,0,0,0,0,0,0,0,0
"S. K., 31401",0,1,0,0,0,0,0,0,0,0
"R. S., 95357",0,1,0,0,0,0,0,0,0,1
"J. B., 48103",0,1,0,0,0,0,0,0,0,0
"Y. E., 40361",0,1,0,0,0,0,0,0,0,0
"T. C., 05301",0,1,0,0,0,0,0,0,0,0
"A. N., 31705",0,1,0,0,0,0,0,0,0,0
"R. B., 75773",0,1,0,0,0,0,0,0,0,0
"H. C., 06511",0,1,0,0,0,0,0,0,0,0
"K. G., 63110",0,1,0,0,0,0,0,0,0,0
"S. B., 90005",0,1,0,0,0,0,0,0,0,0
"N. C., 63033",0,1,0,0,0,0,0,0,0,0
"C. C., 62901",0,1,0,0,0,0,0,0,0,0
"R. R., 61920",0,1,0,0,0,0,0,0,0,0
"I. B., 48911",0,1,0,0,0,0,0,0,0,0
"A. K., 60419",0,1,0,0,0,0,0,0,0,0
"W. L., 92103",0,1,0,0,0,0,0,0,0,0
"D. S., 02476",0,1,0,0,0,0,0,0,0,0
"D. R., 78204",0,1,0,0,0,0,0,0,0,0
"M. W., 11238",0,1,0,0,0,0,0,0,0,0
"K. R., 10954",0,1,0,0,0,0,0,0,0,0
"K. N., 91006",0,1,0,0,0,0,0,0,0,0
"B. H., 11105",0,1,0,0,0,0,0,0,0,0
"M. N., 95695",0,1,0,0,0,0,0,0,0,0
"I. R., 91739",0,1,0,0,0,0,0,0,0,0
"P. S., 63135",0,1,0,0,0,0,0,0,0,0
"G. K., 90034",0,1,0,0,0,0,0,0,0,0
"B. C., 30317",0,1,0,0,0,0,0,0,0,0
"C. M., 48038",0,1,0,0,0,1,0,0,0,0
"T. C., 02131",0,1,0,0,0,0,0,0,0,0
"M. I., 06870",0,1,0,0,0,0,0,0,0,0
"M. S., 19087",0,1,0,0,0,0,0,0,0,0
"K. T., 02119",0,1,0,0,0,0,0,0,0,0
"D. E., 95014",0,0,1,0,0,0,0,0,0,0
"S. D., 12411",0,0,1,0,0,0,0,0,0,0
"D. N., 12158",0,0,1,1,1,1,0,0,0,1
"D. W., 37811",0,0,1,1,0,0,0,0,0,0
"M. F., 38120",0,0,1,0,0,1,0,0,0,1
"H. W., 08724",0,0,1,1,1,0,0,0,0,1
"B. G., 95020",0,0,1,0,0,0,0,0,0,0
"J. D., 34241",0,0,1,0,0,1,0,0,0,1
"D. R., 10033",0,0,1,0,0,0,0,0,0,0
"D. V., 53716",0,0,1,0,0,0,0,0,0,0
"A. C., 50266",0,0,1,0,1,1,0,0,0,1
"E. M., 92833",0,0,1,0,1,0,0,0,0,0
"H. M., 97330",0,0,1,0,0,0,0,0,0,0
"E. C., 92584",0,0,1,0,0,0,0,0,0,0
"J. C., 17349",0,0,1,0,0,0,0,0,0,0
"J. C., 19118",0,0,1,1,0,0,0,0,0,0
"K. L., 90028",0,0,1,0,0,0,0,0,0,0
"P. P., 34488",0,0,1,1,0,0,0,0,0,1
"L. P., 29588",0,0,1,0,0,0,0,0,0,0
"B. M., 17045",0,0,1,0,0,0,0,0,0,0
"E. T., 01002",0,0,1,0,0,0,0,0,0,0
"J. J., 98029",0,0,1,0,0,0,0,0,0,0
"L. V., 11214",0,0,1,1,0,0,0,0,0,1
"J. F., 55439",0,0,1,0,0,0,0,0,0,0
"C. R., 20904",0,0,1,0,0,0,0,1,0,1
"C. B., 89148",0,0,1,0,0,0,0,0,0,0
"S. H., 41076-1150",0,0,1,0,0,0,0,0,0,0
"D. S., 48178",0,0,1,0,0,0,0,0,0,1
"M. E., 33615",0,0,1,0,0,0,0,0,0,0
"J. R., 81301",0,0,1,0,0,0,0,0,0,0
"A. S., 22801",0,0,1,0,0,0,0,0,0,0
"B. P.,  02139",0,0,1,0,0,0,0,0,0,0
"M. Z., 55104",0,0,1,0,0,0,0,0,0,0
"R. K., 06901",0,0,1,0,0,0,0,0,0,0
"D. A., 75248",0,0,1,1,1,0,0,1,0,1
"W. W., 32765",0,0,1,0,0,0,0,0,0,0
"H. M., 35816",0,0,1,0,0,0,0,0,0,0
"B. B., 97223",0,0,1,0,0,0,0,0,0,0
"R. A., 92115",0,0,1,0,0,0,0,0,0,0
"G. L., 33033",0,0,1,0,0,1,0,0,0,0
"J. C., 89509",0,0,1,0,0,0,0,0,0,0
"J. O., 95969",0,0,1,0,0,1,0,0,1,0
"K. L., 80013",0,0,1,0,0,0,0,0,0,0
"K. R., 21040",0,0,1,0,0,0,0,0,0,0
"A. K., 94602",0,0,1,0,0,0,0,0,0,0
"V. L., 60439",0,0,1,0,0,0,0,0,0,0
"A. S., 20715",0,0,1,0,1,1,0,0,0,0
"M. T., 64111",0,0,1,0,0,0,0,0,0,0
"S. M., 38016",0,0,1,0,0,0,0,0,0,0
"J. T., 49756",0,0,1,0,0,0,0,0,0,0
"J. C., 77006",0,0,1,0,0,0,0,0,0,0
"C. T., 48124",0,0,1,0,0,0,0,0,0,0
"J. S., 80916",0,0,1,0,0,0,0,0,0,0
"M. T., 25701",0,0,1,0,0,0,0,0,0,0
"D. F., 10301",0,0,1,0,0,0,0,0,0,0
"D. B., 92585-3332",0,0,1,0,0,0,0,0,0,0
"C. P., 27511",0,0,1,0,0,0,0,0,0,0
"A. Z., 98155",0,0,1,0,0,0,0,0,0,0
"A. S., 63130",0,0,1,0,0,0,0,0,0,0
"M. B., 60162",0,0,1,0,0,0,0,0,0,0
"N. I., 93109",0,0,1,0,0,0,0,0,0,0
"Y. A., 85210",0,0,1,0,0,0,0,0,0,0
"M. A., 63121",0,0,1,0,0,0,0,0,0,0
"S. S., 91923",0,0,1,0,0,0,0,0,0,0
"C. C., 63122",0,0,1,0,0,0,0,0,0,0
"A. S., 85282",0,0,1,0,0,1,0,0,0,0
"T. J., 23043",0,0,1,0,0,0,0,0,0,0
"D. M., 98105",0,0,1,0,0,0,0,0,0,1
"S. T., 80005",0,0,1,0,0,0,0,0,0,0
"M. C., 17756",0,0,1,0,0,0,0,0,0,0
"S. B., 98019",0,0,1,0,0,0,0,0,1,0
"M. W., 07060",0,0,1,0,0,1,0,0,0,0
"J. M., 94601",0,0,1,1,0,0,0,0,0,0
"J. H., 48021",0,0,1,0,0,1,0,0,0,0
"M. C., 19044",0,0,1,0,1,0,0,0,0,0
"J. W., 67212",0,0,1,0,0,0,0,0,0,0
"J. G., 99208",0,0,1,0,0,0,0,0,0,0
"G. G., 53703",0,0,1,0,0,0,0,0,0,0
"J. G., 92028",0,0,1,0,0,1,0,0,0,1
"S. P., 20832",0,0,1,0,0,0,0,0,0,0
"T. L., 40221",0,0,1,0,0,1,0,0,0,0
"R. C., 32669",0,0,1,0,0,0,0,1,0,0
"B. H., 55316",0,0,1,0,0,1,0,0,0,0
"P. B., 60074",0,0,1,0,0,0,0,0,0,0
"H. S., 75069",0,0,1,1,0,0,0,0,0,1
"C. E., 02139",0,0,1,0,0,0,0,0,0,0
"S. H., 97070",0,0,1,0,0,0,0,0,0,0
"S. D., 89011",0,0,1,1,0,0,0,0,0,0
"M. C., 03835",0,0,1,0,1,0,0,0,0,1
"R. S., 98112",0,0,1,0,0,0,0,0,0,0
"R. S., 94565",0,0,1,0,0,0,0,0,0,0
"E. C., 29732",0,0,1,0,0,0,0,0,0,0
"D. G., 30157-7634",0,0,1,0,0,0,0,0,0,0
"A. R., 53536",0,0,1,0,0,0,0,0,0,0
"J. P., 94526",0,0,1,0,0,0,0,0,0,0
"M. C., 85282",0,0,1,0,0,0,0,0,0,0
"G. S., 11222",0,0,1,0,1,0,0,0,0,0
"L. H., 83706",0,0,1,0,0,1,0,0,0,1
"D. S., 12498",0,0,1,0,0,1,0,0,0,1
"Z. C., 27106",0,0,1,0,0,0,0,0,0,0
"S. Z., 97302",0,0,1,0,0,0,0,0,0,0
"W. A., 77085",0,0,1,0,0,0,0,0,0,0
"B. G., 55075",0,0,1,0,0,0,0,0,0,0
"P. T., 98225",0,0,1,0,0,0,0,0,0,0
"T. T., 02771",0,0,1,0,0,0,0,0,0,0
"J. H., 48603",0,0,1,0,0,0,0,0,0,0
"D. F., 93250",0,0,1,0,0,0,0,0,0,0
"R. L., 28906-7098",0,0,1,0,0,0,0,0,0,0
"J. S., 15533",0,0,1,0,0,0,0,0,0,0
"R. L., 77018",0,0,1,0,0,0,0,0,0,0
"J. H., 94583",0,0,1,0,0,0,0,0,0,0
"E. S., 21201",0,0,1,0,0,0,0,0,0,0
"T. J., 85701",0,0,1,1,1,0,0,0,0,1
"J. C., 97526",0,0,1,0,0,0,0,0,0,0
"G. M., 85748",0,0,1,0,0,0,0,0,0,0
"D. S., 25159",0,0,1,0,0,0,0,0,0,0
"N. B., 93401",0,0,1,0,0,0,0,0,0,0
"H. A., 97326",0,0,1,0,0,0,0,0,0,0
"M. A., 95032",0,0,1,0,0,0,0,0,0,0
"D. C., 63088",0,0,1,0,0,0,0,0,0,0
"J. G., 98103",0,0,1,1,1,0,0,1,1,1
"A. R., 37323",0,0,1,0,0,0,0,0,0,0
"J. R., 11104",0,0,1,0,0,0,0,0,0,0
"J. K., 78130",0,0,1,0,0,0,0,0,0,0
"D. H., 33523",0,0,1,0,1,0,0,0,0,0
"S. K., 48312",0,0,1,0,0,0,0,0,0,0
"D. C., 91702-5334",0,0,1,0,0,0,0,0,0,0
"J. G., 70131",0,0,1,0,0,1,0,0,0,1
"A. S., 74426",0,0,1,0,0,0,0,0,0,0
"A. D., 10012",0,0,1,0,0,0,0,0,0,0
"K. W., 07885",0,0,1,0,1,1,0,0,0,1
"J. Z., 94306",0,0,1,0,0,0,0,0,0,0
"G. S., 85737",0,0,1,0,0,1,0,0,0,1
"W. J., 77081",0,0,1,0,0,0,0,0,0,0
"E. M., 28411",0,0,1,0,0,0,0,0,0,0
"Z. B., 77351",0,0,1,0,0,0,0,0,0,0
"J. H., 21230",0,0,1,0,1,0,0,0,0,0
"G. M., 95838",0,0,1,0,0,1,0,0,0,1
"S. R., 10002",0,0,1,0,0,0,0,0,0,0
"H. A., 29607",0,0,1,0,0,0,0,0,0,0
"S. C., 96007",0,0,1,0,0,0,0,0,0,0
"B. D., 11790",0,0,1,0,0,0,0,0,0,0
"J. B., 89011",0,0,1,1,1,1,0,0,1,1
"H. R., 12406",0,0,1,0,0,0,0,0,0,0
"G. D., 97215",0,0,1,0,0,0,0,0,0,0
"A. P., 78666",0,0,1,0,0,0,0,0,0,0
"B. L., 48174",0,0,1,0,0,0,0,0,0,0
"P. L., 16877",0,0,1,0,0,0,0,0,0,0
"T. B., 04937",0,0,1,0,0,0,0,0,0,0
"M. S., 58104",0,0,1,0,0,0,0,0,0,0
"G. B., 85282",0,0,1,0,0,1,0,1,1,1
"K. S., 85306",0,0,1,0,0,0,0,0,0,0
"D. C., 12491",0,0,1,0,0,0,0,0,0,0
"L. N., 74021",0,0,1,0,0,0,0,0,0,0
"D. W., 33189",0,0,1,0,0,0,0,0,0,0
"L. K., 33157",0,0,1,0,0,0,0,0,0,0
"A. F., 48377",0,0,1,0,0,0,0,0,0,0
"J. S., 33432",0,0,1,0,0,0,0,1,0,0
"S. M., 80204",0,0,1,0,0,0,0,0,0,0
"R. W., 08724",0,0,1,0,1,0,0,0,0,1
"L. P., 00831",0,0,1,0,0,0,0,0,0,0
"C. D., 33064",0,0,1,0,0,1,0,0,0,0
"S. M., 46613",0,0,1,0,0,0,0,0,0,0
"M. H., 32608",0,0,1,0,0,0,0,0,0,0
"D. B., 33066",0,0,1,0,0,0,0,0,0,0
"E. M., 56362",0,0,1,0,0,0,0,0,0,0
"G. W., 94553",0,0,1,0,0,0,0,0,0,0
"D. T., 11102",0,0,1,0,0,0,0,0,0,0
"B. P., 12464",0,0,1,0,0,0,0,0,0,0
"J. H., 53714",0,0,1,0,0,0,0,0,0,0
"H. T., 28409",0,0,1,0,0,1,0,0,0,1
"D. B., 79414",0,0,1,1,0,1,0,0,0,0
"L. C., 81301",0,0,1,0,0,1,0,0,0,0
"M. V., 24248",0,0,1,0,0,0,0,0,0,0
"M. S., 97212",0,0,1,0,0,0,0,0,0,0
"P. M., 00922",0,0,1,1,1,0,0,1,0,1
"A. J., 97214",0,0,1,0,0,0,0,0,0,0
"S. B., 97203",0,0,1,0,0,0,0,0,0,0
"D. G., 91205",0,0,1,0,0,0,0,0,0,0
"F. T., 30273",0,0,1,0,0,0,0,0,0,0
"T. G., 53714",0,0,1,0,0,0,0,0,0,0
"J. L., 33319",0,0,1,0,0,0,0,0,0,1
"J. T., 81301",0,0,1,0,0,0,0,0,0,0
"S. O., 02139",0,0,1,0,0,0,0,0,0,0
"W. M., 75204",0,0,1,0,0,0,0,0,0,0
"J. B., 07059",0,0,1,0,0,0,0,0,0,0
"D. F., 10011",0,0,1,0,0,0,0,0,0,0
"K. K., 46143",0,0,1,0,0,0,0,0,0,0
"C. V., 90041",0,0,1,0,0,0,0,0,0,0
"V. D., 85201",0,0,1,0,0,0,0,0,0,0
"M. Z., 89032",0,0,1,0,0,0,0,0,0,0
"A. F., 38751",0,0,1,0,0,0,0,0,0,0
"G. F., 97530",0,0,1,0,0,0,0,0,0,0
"J. D., 33129",0,0,1,0,0,0,0,0,0,0
"E. S., 02180",0,0,1,0,0,0,0,0,0,0
"D. D., 48071",0,0,1,0,0,0,0,0,0,0
"J. S., 85747",0,0,1,1,0,0,0,0,0,1
"G. W., 19007",0,0,1,0,0,0,0,0,0,0
"W. C., 23455",0,0,1,0,0,1,0,0,0,0
"N. H., 60661",0,0,1,0,0,0,0,0,0,0
"S. G., 30291",0,0,1,0,0,0,0,0,0,0
"M. L., 60402",0,0,1,0,0,0,0,0,0,0
"J. F., 32828",0,0,1,0,0,0,0,0,0,0
"D. N., 94110",0,0,1,0,0,0,0,0,0,0
"J. H., 61535",0,0,1,0,0,1,0,0,0,1
"J. H., 05641",0,0,1,0,0,0,0,0,0,0
"E. B., 33172",0,0,1,0,0,0,0,0,0,0
"C. C., 27406",0,0,1,0,0,1,0,0,0,0
"O. W., 84401",0,0,1,0,0,0,0,0,0,0
"E. D., 99362",0,0,1,1,0,0,0,0,0,0
"A. C., 25508",0,0,1,0,0,0,0,0,0,0
"T. M., 66071",0,0,1,0,0,0,0,0,0,0
"T. M., 46516",0,0,1,0,0,0,0,0,0,0
"J. T., 47401",0,0,1,0,0,0,0,0,0,0
"J. K., 43613",0,0,1,0,0,0,0,0,0,0
"S. H., 34736",0,0,1,0,0,0,0,0,0,0
"L. K., 91604",0,0,1,0,0,1,0,0,0,1
"P. Q., 30121",0,0,1,0,1,0,0,0,0,1
"J. R., 30802",0,0,1,0,0,0,0,0,0,0
"J. M., 77406",0,0,1,0,0,0,0,0,0,0
"J. B., 78681",0,0,1,0,0,0,0,0,0,0
"K. W., 20902",0,0,1,0,1,0,0,0,0,0
"M. K., 11375",0,0,1,0,0,0,0,0,0,0
"A. W., 27707",0,0,1,0,0,0,0,0,0,0
"R. J., 97367",0,0,1,0,0,0,0,0,0,0
"D. F., 95991",0,0,1,0,0,0,0,0,0,0
"K. A., 60615",0,0,1,0,0,0,0,0,0,0
"Z. G., 30062",0,0,1,0,0,1,0,0,0,0
"R. G., 33411",0,0,1,0,0,0,0,0,0,0
"H. H., 97217",0,0,1,0,0,0,0,0,0,0
"P. R., 49332",0,0,1,0,0,0,0,0,0,0
"V. R., 54909",0,0,1,0,1,1,0,0,0,0
"M. M., 48161",0,0,1,0,0,0,0,0,0,0
"J. B., 28604",0,0,1,0,0,0,0,0,0,0
"M. S., 07422",0,0,1,1,1,0,0,1,0,1
"J. M., 02368",0,0,1,0,0,0,0,0,0,0
"E. B., 11706",0,0,1,0,0,0,0,0,0,0
"J. A., 95066",0,0,1,0,0,0,0,0,0,0
"C. Y., 80521",0,0,1,0,0,0,0,0,0,0
"P. K., 78750",0,0,1,0,0,0,0,0,0,0
"L. H., 28428",0,0,1,0,0,0,0,0,0,0
"M. M., 91411",0,0,1,0,0,0,0,0,0,0
"D. S., 97216",0,0,1,0,0,0,0,0,1,0
"M. T., 97220",0,0,1,0,0,0,0,0,0,0
"R. B., 23223",0,0,1,0,0,0,0,0,0,0
"K. M., 94040",0,0,1,0,0,0,0,0,0,0
"E. B., 97405",0,0,1,0,0,0,0,0,0,0
"S. P., 71107",0,0,1,0,0,0,0,0,0,0
"F. S., 37714",0,0,1,0,0,0,0,0,0,0
"P. R., 55313",0,0,1,1,1,1,0,0,0,0
"J. L., 65787",0,0,1,0,0,0,0,0,0,0
"G. K., 15217",0,0,1,0,0,1,0,0,0,1
"M. E., 98109",0,0,1,0,0,0,0,0,0,0
"J. C., 21012",0,0,1,0,0,0,0,0,0,0
"M. B., 62556",0,0,1,0,0,0,0,0,0,0
"S. M., 90021",0,0,1,0,0,0,0,0,0,1
"L. S., 12834",0,0,1,0,0,0,0,0,0,0
"F. I., 900277",0,0,1,1,0,1,0,0,0,0
"D. S., m266py",0,0,1,0,0,0,0,0,0,0
"G. P., 92104-1844",0,0,1,0,0,0,0,0,0,0
"J. M., 30030",0,0,1,0,0,0,0,0,0,0
"F. T., 48823",0,0,1,0,0,0,0,0,0,0
"M. R., 08701",0,0,1,0,0,0,0,0,0,1
"R. B., 67042",0,0,1,0,0,0,0,0,0,0
"D. E., 27713",0,0,1,0,0,0,0,0,0,0
"G. W., 63034",0,0,1,0,0,0,0,0,0,0
"J. B., 32754",0,0,1,0,0,0,0,0,0,0
"J. E., 37879",0,0,1,0,0,0,0,0,0,0
"K. U., 21655",0,0,1,0,0,0,0,0,0,0
"T. M., 18447",0,0,1,0,0,0,0,0,0,0
"C. P., 43201",0,0,1,0,0,0,0,0,0,0
"D. J., 94606",0,0,1,0,0,1,0,0,0,1
"M. C., 01886",0,0,1,0,0,0,0,0,0,0
"J. J., 30601",0,0,1,0,0,0,0,0,0,0
"M. B., 23606",0,0,1,0,0,1,0,0,0,0
"A. B., 50665",0,0,1,0,0,0,0,0,0,0
"Y. O., 28806",0,0,1,0,0,0,0,0,0,0
"L. T., 33444",0,0,1,0,0,0,0,0,0,0
"T. R., 97211",0,0,1,0,0,0,0,0,0,0
"S. D., 92397",0,0,1,0,1,0,0,1,0,1
"D. S., 43130",0,0,1,0,0,0,0,0,0,0
"B. G., 10012",0,0,1,0,1,0,0,0,0,0
"S. L., 31088",0,0,1,0,0,0,0,0,0,1
"D. G., 75060",0,0,1,0,0,0,0,0,0,0
"D. C., 06776",0,0,1,0,0,0,0,0,0,0
"R. T., 97007",0,0,1,0,0,0,0,0,0,0
"D. C., 96203",0,0,1,0,0,0,0,0,0,0
"C. T., 87048",0,0,1,0,0,0,0,0,0,0
"D. A., 01460",0,0,1,1,0,1,0,0,0,0
"J. H., 02891",0,0,1,0,0,0,0,0,0,0
"G. L., 10025",0,0,1,0,0,0,0,0,0,1
"J. S., 60148",0,0,1,0,0,0,0,0,0,1
"R. H., 13361",0,0,1,0,0,0,0,0,0,0
"D. M., 93117",0,0,1,0,0,0,0,0,0,0
"S. A., 92586",0,0,1,0,0,0,0,0,0,0
"K. V., 92011",0,0,1,0,0,0,0,0,0,0
"G. M., 33520",0,0,1,0,0,0,0,0,0,0
"H. V., 93619",0,0,1,0,1,0,0,0,0,0
"N. D., 14548",0,0,1,0,0,0,0,0,0,0
"H. R., 10024",0,0,1,0,1,0,0,0,0,1
"J. B., 23139",0,0,1,0,1,1,0,0,0,1
"T. F., 78759",0,0,1,0,0,0,0,0,0,0
"M. U., 13215",0,0,1,0,0,0,0,0,0,0
"D. K., 16701",0,0,1,0,0,0,0,0,0,0
"R. C., 94110",0,0,1,0,0,0,0,0,0,0
"D. F., 78759",0,0,1,0,0,0,0,0,0,0
"S. T., 80911",0,0,1,0,0,0,0,0,0,0
"J. C., 94947",0,0,1,0,0,0,0,0,0,0
"M. S., 77396",0,0,1,0,1,0,0,0,0,0
"M. F., 78759",0,0,1,0,0,0,0,0,0,0
"J. V., 53214",0,0,1,0,0,0,0,0,0,0
"K. M., 79912",0,0,1,0,0,0,0,0,0,0
"K. R., 78737",0,0,1,0,1,1,0,1,0,1
"F. D., 19320",0,0,1,0,0,0,0,0,0,0
"J. C., 78539",0,0,1,0,0,0,0,0,0,0
"K. G., 93940",0,0,1,1,0,0,0,0,0,1
"R. K., 01062",0,0,1,0,1,0,0,0,0,1
"M. M., 55105",0,0,1,0,0,0,0,0,0,0
"F. M., 11518-1111",0,0,1,0,0,0,0,0,0,0
"R. G., 11421",0,0,1,0,0,0,0,0,0,1
"B. S., 60046",0,0,1,0,0,0,0,0,0,0
"Y. V., 01109",0,0,1,0,0,0,0,0,0,0
"G. C., 62254",0,0,1,0,0,0,0,0,0,0
"B. G., 77073",0,0,1,0,0,0,0,0,0,0
"E. G., 91601",0,0,1,0,0,0,0,0,0,0
"M. J., 20735",0,0,1,0,0,0,0,0,0,0
"D. C., 63034",0,0,1,0,0,0,0,0,0,0
"P. H., 95521",0,0,1,0,0,0,0,0,0,0
"G. W., 94533",0,0,1,0,0,0,0,0,0,0
"J. T., 98686",0,0,1,0,0,0,0,0,0,0
"M. A., 95969",0,0,1,0,0,0,0,0,0,0
"S. W., 32641",0,0,1,0,0,0,0,0,0,0
"H. L., 83704",0,0,1,0,0,0,0,0,0,0
"T. R., 27540",0,0,1,0,0,0,0,0,0,0
"L. R., 27406",0,0,1,0,0,0,0,0,0,0
"S. M., 98405",0,0,1,0,0,1,0,0,0,1
"J. H., 02421",0,0,1,0,0,0,0,0,0,0
"V. D., 11782",0,0,1,0,0,0,0,0,0,0
"T. E., 78751",0,0,1,0,0,0,0,0,0,0
"T. M., 80129",0,0,1,0,0,0,0,0,0,0
"S. W., 77040",0,0,1,0,0,0,0,0,0,0
"M. L., 53719",0,0,1,0,0,0,0,0,0,0
"A. J., 90274",0,0,1,0,0,0,0,0,0,1
"B. P., 11367-2009",0,0,1,0,0,0,0,0,0,0
"J. Z., 55318",0,0,1,0,1,0,0,0,0,0
"J. H., 10901",0,0,1,1,0,0,0,0,0,0
"T. C., 64030",0,0,1,0,0,0,0,0,0,0
"S. R., 97411",0,0,1,0,0,0,0,0,0,0
"D. G., 32773",0,0,1,0,0,0,0,1,0,1
"J. P., 07632",0,0,1,0,0,0,0,0,0,0
"E. D., 37334",0,0,1,0,0,0,0,0,0,0
"J. M., 61103",0,0,1,0,0,0,0,0,0,0
"M. J., 93101",0,0,1,0,0,0,0,0,0,0
"H. A., 81240",0,0,1,0,1,0,0,0,0,1
"J. F., 85379",0,0,1,0,0,0,0,0,0,0
"J. M., 54634",0,0,1,0,0,0,0,0,0,0
"G. M., 15235",0,0,1,0,1,0,0,0,0,0
"D. L., 90020",0,0,1,0,0,0,0,0,0,0
"J. K., 32826",0,0,1,0,0,0,0,0,0,0
"M. P., 33412",0,0,1,0,0,0,0,0,0,0
"S. H., 21090",0,0,1,0,0,0,0,0,0,0
"C. H., 98576",0,0,1,0,0,0,0,0,0,0
"M. G., 53711",0,0,1,0,0,0,0,0,0,0
"A. R., 48911",0,0,1,0,0,0,0,0,0,0
"S. G., 20706",0,0,1,0,0,0,0,0,0,0
"C. L., 10128-3667",0,0,1,0,0,0,0,0,0,0
"J. K., 58545",0,0,1,0,0,0,0,0,0,0
"C. B., 55414",0,0,1,0,0,0,0,0,0,0
"L. K., 38016",0,0,1,0,0,0,0,0,0,1
"J. S., 68108",0,0,1,0,0,0,0,0,0,0
"D. R., 19428",0,0,1,0,0,0,0,0,0,1
"K. O., 53703",0,0,1,0,0,0,0,0,0,0
"B. B., 71037",0,0,1,0,0,0,0,0,0,0
"A. S., 22469",0,0,1,0,0,0,0,0,0,0
"D. C., 43302",0,0,1,0,0,0,0,0,0,0
"C. S., 34428",0,0,1,0,0,0,0,0,0,0
"J. M., 60089",0,0,1,0,0,1,0,0,0,1
"J. L., 25801",0,0,1,0,0,0,0,0,0,0
"D. M., 78212",0,0,1,0,0,0,0,0,0,0
"K. S., 92404",0,0,1,0,0,0,0,0,0,0
"M. P., 98366",0,0,1,0,0,0,0,0,0,0
"J. D., 32563",0,0,1,0,0,1,0,0,1,1
"S. B., 78073",0,0,1,0,1,0,0,0,0,0
"H. R., 02139",0,0,1,0,0,0,0,0,0,0
"S. C., 11967",0,0,1,0,0,0,0,0,0,0
"R. B., 63084",0,0,1,0,0,0,0,0,0,0
"J. C., 97217",0,0,1,0,0,0,0,0,0,0
"D. W., 47620",0,0,1,0,0,0,0,0,0,0
"W. P., 84121",0,0,1,0,0,0,0,0,0,1
"K. M., 97202",0,0,1,0,0,0,0,0,0,0
"F. P., 33472",0,0,1,0,0,0,0,0,0,0
"T. S., 48089",0,0,1,0,0,0,0,1,0,0
"C. T., 97402",0,0,1,0,0,0,0,0,0,0
"T. W., 61073",0,0,1,0,0,0,0,0,0,0
"S. D., 85122",0,0,1,0,0,0,0,0,0,0
"R. Z., 96713",0,0,1,0,0,0,0,0,0,0
"G. B., 01610",0,0,1,0,0,0,0,0,0,0
"N. E., 11420",0,0,1,0,0,1,0,0,0,1
"J. E., 17057",0,0,1,0,0,1,0,0,0,0
"E. G., 90275",0,0,1,0,0,0,0,0,0,0
"S. M., 70611",0,0,1,0,0,0,0,0,0,0
"C. M., 73071",0,0,1,0,0,0,0,1,0,0
"P. R., 03038",0,0,1,0,0,1,0,0,1,1
"J. G., 20164",0,0,1,0,0,0,0,0,0,0
"S. M., 26070",0,0,1,0,0,0,0,0,0,0
"K. M., 80701",0,0,1,0,0,0,0,0,0,0
"T. A., 60411",0,0,1,0,0,0,0,0,0,0
"A. Q., 92683",0,0,1,0,0,0,0,0,0,0
"M. V., 90404",0,0,1,0,0,0,0,0,0,0
"J. E., 02191",0,0,1,0,0,0,0,0,0,0
